image_name,face_ratio,jaw_width_ratio,forehead_width_ratio,chin_length_ratio,eye_aspect_ratio_left,eye_aspect_ratio_right,eye_width_ratio,inter_eye_distance_ratio,left_brow_height_ratio,right_brow_height_ratio,left_brow_angle,right_brow_angle,nose_width_ratio,nose_length_ratio,mouth_width_ratio,mouth_open_ratio,face_shape,eye_type,mouth_type,brow_type,nose_type,skin_tone
000171.jpg,0.7375512981433933,0.8425163469197806,0.8556679203026284,0.2719026672340944,0.3794323014922689,0.43011626304799316,0.19850891553711955,0.24999999996710529,0.10947312989189419,0.10773879240537969,3.0727361642887487,0.11065722117389565,0.2894736841724377,0.22404860488174963,0.4081069057165866,0.009704622343992017,square,squint,straight,flat,medium,tone_2
000523.jpg,0.8199845208230992,0.8130647147625208,0.8569359176789297,0.2434001422971786,0.4219978573338933,0.36760731085579396,0.21061044366893056,0.2419494353308185,0.14420865780875072,0.1414385708913542,3.1058935409104693,0.034469100999508014,0.2856453058929766,0.2253961867261385,0.47241339051530745,0.06306050404331806,oval,round,smile,flat,pointed,tone_4
000662.jpg,0.8534814657141695,0.7777114059984372,0.8762575401584848,0.252575612686395,0.33397374357891535,0.2795084970127809,0.19805812791378377,0.23460667491108722,0.12148251722149157,0.11624120109410399,3.099950074491205,0.11942892601833845,0.2592371353328124,0.2422803030642427,0.3578014735145657,0.010523983861933126,oblong,round,straight,flat,medium,tone_4
000999.jpg,0.836939965495447,0.8443876404478069,0.8415665420950407,0.2756847515429878,0.4333788857519713,0.4385290093815505,0.1838488868019911,0.23163842829149092,0.11510129525823357,0.12094543405552151,2.9669204545815537,0.0964737751825869,0.2682129169690948,0.19626921134945485,0.37793638300190624,0.020407100863719507,oblong,wide,straight,flat,medium,tone_4
001089.jpg,0.8846153845303255,0.8260869564319471,0.8370271002646039,0.2694024177841325,0.29871519735657337,0.24806946904081273,0.19595387364522182,0.23913043475661627,0.1301633304748005,0.11697620249448729,2.958481836327309,0.1767088560700366,0.3043478260538753,0.1923076922892012,0.46751767750584744,0.07752170911080128,round,wide,smile,flat,wide,tone_5
002006.jpg,0.8076743039542207,0.8137827402732615,0.8872227860763409,0.2424367821651567,0.40196026195161016,0.31622776583114254,0.2009505397173673,0.25023411895245407,0.11204798953283338,0.13246166806934834,3.141592653589793,0.0,0.2876817242983013,0.2531255167613825,0.3873789629347404,0.010092775299803921,oblong,squint,wide,raised,wide,tone_5
002221.jpg,0.8420668925308307,0.8154236174027653,0.8936386246789286,0.2088513783689423,0.27246248872486867,0.28284271231772606,0.19494039999718793,0.2589295502849684,0.13940037381174272,0.15979427077832176,-3.0860941483440762,0.028563657838759995,0.23544145557383064,0.23112961266913898,0.4350232531828599,0.059403029031796714,oval,wide,straight,raised,medium,tone_4
002418.jpg,0.8414416785239255,0.8107369265924742,0.811876936895354,0.2616365422597821,0.2978879004953139,0.19764235363699723,0.18388255341454204,0.22237631847998143,0.11911516379031895,0.10755938459746918,3.070285188804503,0.17219081452293902,0.2776235852411574,0.21491573114196386,0.4665398061816413,0.07475329778850917,oval,squint,smile,raised,wide,tone_4
002883.jpg,0.806338760472192,0.7973133428537338,0.8608558869515132,0.24509769214896046,0.369484466752728,0.4152273990248699,0.2160486817006486,0.21512094645938573,0.14429999405093916,0.1378423757714939,3.058451421701352,0.16514867741462683,0.2786792595155011,0.23468165993277434,0.3416626796707891,0.010203550431859753,square,squint,wide,raised,wide,tone_4
002989.jpg,0.7439089071238452,0.8000745676425851,0.8834377971003623,0.26346223125285134,0.19764235363699723,0.30903983211611913,0.179165899258724,0.25906388004378206,0.0954995899057301,0.08289197526277287,2.9912212255826587,-0.06241880999595735,0.2711590280180666,0.21383325652522306,0.43366877391891456,0.054509427155762354,heart,round,smile,raised,medium,tone_3
003537.jpg,0.84983005089804,0.7883230854484775,0.8235294116678201,0.24078373961855576,0.4130961921446804,0.3976426258752021,0.19067236062110943,0.2588235293813149,0.1297815961203824,0.12090968669275895,3.070285188804503,0.04345089539153084,0.2588235293813149,0.22995401377241084,0.37665436686350234,0.0,heart,squint,smile,raised,medium,tone_2
004539.jpg,0.8314922189661716,0.786616543101157,0.8753339226363351,0.22020758229515477,0.17643243644643683,0.07856742008819005,0.21242975067547604,0.26217248892270356,0.09400110049737295,0.10197405010291986,-2.9441970937399127,-0.13255153229667402,0.274656893157118,0.25972465523650073,0.31211010586036136,0.0,square,round,straight,raised,medium,tone_3
006040.jpg,0.9257764410648905,0.793226973786868,0.8504276891979136,0.24468085103779993,0.30835363968052526,0.34658349641676434,0.20519025284382444,0.23011143876752968,0.11170212764769127,0.11750384059587472,-2.994514298201391,-0.10673567264913565,0.253067800699267,0.21276595742417384,0.36843644132811626,0.010638297871208692,heart,round,straight,flat,medium,tone_4
006530.jpg,0.8625443354126069,0.7949499680832126,0.8552582681138203,0.24097302303219112,0.3119542212069971,0.33777797382209207,0.20792369900004906,0.2532252423072827,0.10085976863085432,0.10920899918096964,-2.994514298201391,-0.12435499454676144,0.2770280191805135,0.2389489487235076,0.33746651693517277,0.0,square,wide,straight,raised,pointed,tone_5
007331.jpg,0.7776846871295883,0.8190398688340945,0.8185249760511802,0.24321491135168813,0.46246387106965786,0.3325950523976307,0.1830121177411603,0.23374652242982277,0.11120314618810292,0.1266401825875868,3.0828368308740703,0.0688564893010446,0.27270427616812654,0.21303757330572415,0.36360570155750205,0.050494747551964425,oblong,wide,wide,flat,wide,tone_3
007679.jpg,0.7351340785164823,0.8140655394675711,0.8370637224923632,0.2223540428555933,0.27896417615182223,0.31622776582072176,0.18690141349302417,0.2673695690797033,0.09554450227761753,0.10057165168350994,3.0348569809406576,0.08314123188844123,0.325700907361981,0.2223540428555933,0.5464875557404892,0.09439100523623105,heart,squint,smile,flat,wide,tone_4
007748.jpg,0.6686609289731505,0.8158549034472355,0.7653542302799731,0.2585720482188188,0.31622776582072176,0.6519202394894884,0.15260534381695673,0.23469805981860858,0.18147695250783966,0.14721940672026776,3.0860941483440762,1.2120256565243244,0.23272078735069104,0.2236067977296511,0.32883595735070154,0.01818181818016529,oval,round,open,raised,medium,tone_3
008225.jpg,0.9350592891084196,0.8391037552790993,0.8390250364126304,0.25793035205994436,0.3801726579060308,0.4419417379653786,0.1838958983918094,0.25285686028873794,0.15283945287417558,0.1475526067783694,2.8632929945846817,0.28379410920832787,0.27584384758771413,0.18301648419700892,0.42525926503105926,0.06448258801498609,oval,wide,open,flat,wide,tone_3
008556.jpg,0.8316831682344868,0.8096113397092989,0.8572255250119823,0.2774044697967303,0.3379312514954948,0.3801726579060308,0.20238095235685943,0.22619047616354876,0.12136287792987757,0.10902334427408304,3.0348569809406576,0.12435499454676144,0.2619047618735828,0.20815639643115919,0.369239581367253,0.0,oval,wide,straight,flat,medium,tone_2
009230.jpg,0.7951598181174255,0.7908383042668907,0.8531452822998457,0.2505470792321495,0.3268602250166315,0.26799851556378185,0.19263338694681031,0.22477292446126138,0.12180759718767083,0.15001526780408242,3.0828368308740703,0.08314123188844123,0.2584102549855476,0.2275531825288117,0.40548712178701646,0.06311189750020361,oval,round,smile,flat,pointed,tone_4
009712.jpg,0.8313165277467633,0.7977078840836517,0.8453219273315918,0.2871727153577943,0.33918173245998673,0.336952693643893,0.17955977574525755,0.23809523806689345,0.08426672823440483,0.08768432382645863,3.0981417581982624,0.037020115873930025,0.2499999999702381,0.21772575726700946,0.35714285710034016,0.009896625330318612,oblong,round,smile,flat,wide,tone_3
009817.jpg,0.8615728014217895,0.8025029421164451,0.8398052051006095,0.23423119643206058,0.3180680981313347,0.36329009791543837,0.18558393403335846,0.27158424216320026,0.15504341822002032,0.1436829717666606,3.1058935409104693,0.09495170634275632,0.23455002732276387,0.21298354617335338,0.35799741012421854,0.010635890744156705,square,wide,wide,arched,medium,tone_4
